ISO3,Country,g_pop_pct_per_yr,GDPpc_2100_eps0.92,GDPpc_2100_eps1.22,difference_pct,in_panel_a
KEN,Kenya,0.8068629483618099,4929.815169589919,5114.279554825241,3.741811384191629,False
LKA,Sri Lanka,-0.11007630603424,23842.362503024047,21838.09250397401,-8.406339760985615,False
HKG,"Hong Kong SAR, China",-1.6723485727895602,229171.62147249328,170263.00119363965,-25.705023990470053,False
TKM,Turkmenistan,0.37244925241086,42974.97285892678,42660.21225573377,-0.7324276951291453,False
GHA,Ghana,0.8868178031063999,6143.569605069439,6434.793131788708,4.740298319058067,False
MMR,Myanmar,-0.12240145349338999,8252.643461516276,7683.012446262681,-6.902406700469954,False
UGA,Uganda,1.16066153643903,3192.8432311077145,3414.016906748647,6.927169911947084,False
AFG,Afghanistan,1.4687260753561602,2912.4876913198714,3109.9747969351797,6.7807018104791394,False
CMR,Cameroon,1.46800637211914,4193.873938917694,4529.554790179677,8.004075853281645,False
JOR,Jordan,0.80637950211409,16175.95248262322,16705.02367110171,3.2707266483802844,False
GTM,Guatemala,0.45001775133341004,12658.668314957507,12423.639113040328,-1.856666088955572,False
SVK,Slovak Republic,-0.6239844192620401,95336.60902178864,80401.39240729707,-15.665772852355397,False
ECU,Ecuador,0.06764157492827,16120.316478433131,15051.046241257833,-6.633059832329236,False
PNG,Papua New Guinea,0.74566326907617,16127.547389503952,16707.855981084493,3.5982445288501363,False
DOM,Dominican Republic,0.02817680995639,25722.14183320561,23922.51561526221,-6.996408890103378,False
KHM,Cambodia,0.33417656504928,13065.662900832203,12819.87902808484,-1.8811435333427107,False
LBY,Libya,0.37077894315488996,28178.49788794345,27778.647706145253,-1.4189904067571923,False
PAN,Panama,0.35296593714432,45081.40786871376,44370.03443931024,-1.5779751854138602,False
AZE,Azerbaijan,-0.04075519247152,25901.064068649823,24168.87860678206,-6.687700000573993,False
LUX,Luxembourg,0.13893524849924,341658.5404565201,329564.9046596898,-3.5396849089944893,False
SDN,Sudan,1.3134486939291,1847.8240390108645,1975.8497709984028,6.928459056960334,False
BHR,Bahrain,0.8603632082911299,81129.57515438739,82250.47070019344,1.3816115068678858,False
MLI,Mali,1.54752683941814,2962.478956126239,3244.7981220071188,9.529828567965337,False
ZMB,Zambia,1.45638388548277,3513.711135133712,3788.599415150761,7.82330332361223,False
NPL,Nepal,0.09336393135391,7059.319213999002,6459.494700269144,-8.496917274124316,False
MOZ,Mozambique,1.45124482167122,1947.6164753005137,2104.5790467392494,8.059213578716351,False
SVN,Slovenia,-0.34338950740123,124191.52927796324,111899.9653535308,-9.897264327039313,False
SEN,Senegal,1.2270676531295601,4140.720854540109,4415.337326984035,6.632093350190993,False
