ISO3,Country,Region,g_agg_pct_per_yr,g_gdppc_pct_per_yr,g_pop_pct_per_yr
BFA,Burkina Faso,Sub-Saharan Africa,2.60745244749562,1.620571854943,0.98688059255261
PSE,West Bank and Gaza,Middle East & North Africa,2.77024338916349,1.8006676160947002,0.96957577306878
NER,Niger,Sub-Saharan Africa,2.70324588846735,1.10872622884572,1.59451965962162
GAB,Gabon,Sub-Saharan Africa,2.43529544298791,1.11917505823298,1.31612038475492
VEN,"Venezuela, RB",Latin America & Caribbean,1.17182961493029,1.17763212399148,-0.005802509061181762
GEO,Georgia,Europe & Central Asia,1.9038334118608902,2.2310130579158,-0.3271796460549
EST,Estonia,Europe & Central Asia,1.66077579225434,2.31820799124892,-0.6574321989945799
GIN,Guinea,Sub-Saharan Africa,2.4688169562184297,1.4498845083919198,1.01893244782651
MWI,Malawi,Sub-Saharan Africa,2.68742297274359,1.36547665160384,1.32194632113974
LVA,Latvia,Europe & Central Asia,1.41099526898894,2.33796764560041,-0.9269723766114599
BWA,Botswana,Sub-Saharan Africa,2.1078138490138,1.55526856198733,0.55254528702646
MAC,"Macao SAR, China",East Asia & Pacific,1.03392594147077,2.05628019834145,-1.02235425687068
ISL,Iceland,Europe & Central Asia,1.7670919808701402,1.8744157736658398,-0.1073237927957
RWA,Rwanda,Sub-Saharan Africa,2.433986571887,1.33848528338424,1.09550128850275
SOM,Somalia,Sub-Saharan Africa,2.96340731320312,1.29868282363864,1.66472448956447
PRI,Puerto Rico,Latin America & Caribbean,-0.25421026919995,1.29926070944817,-1.55347097864813
GNQ,Equatorial Guinea,Sub-Saharan Africa,2.78249339797473,1.50331557685675,1.27917782111797
BIH,Bosnia and Herzegovina,Europe & Central Asia,1.62025149688129,2.72511047434061,-1.10485897745932
MDG,Madagascar,Sub-Saharan Africa,2.09171064492666,0.79958360278029,1.29212704214637
BRN,Brunei Darussalam,East Asia & Pacific,2.0752603423119598,2.06934477182488,0.00591557048707871
SLV,El Salvador,Latin America & Caribbean,1.05504443659498,1.34796154448494,-0.29291710788995
GUY,Guyana,Latin America & Caribbean,1.56188841210123,1.4733242564577098,0.08856415564351
TGO,Togo,Sub-Saharan Africa,2.61296033217492,1.27519282613407,1.33776750604084
MLT,Malta,Middle East & North Africa,1.5181195032024202,2.05091683491587,-0.53279733171344
MRT,Mauritania,Sub-Saharan Africa,2.55887836643726,0.98334905229463,1.57552931414263
NAM,Namibia,Sub-Saharan Africa,2.04750951646283,1.17119640765507,0.87631310880775
ARM,Armenia,Europe & Central Asia,1.49563512952885,2.23751114450258,-0.74187601497373
HTI,Haiti,Latin America & Caribbean,1.5671607172737498,1.23518502036402,0.33197569690973
SLE,Sierra Leone,Sub-Saharan Africa,2.07143802924673,1.26639240570861,0.80504562353812
NIC,Nicaragua,Latin America & Caribbean,1.4255746828812401,1.13706614615602,0.28850853672521004
ALB,Albania,Europe & Central Asia,1.23171330683901,2.35925774021395,-1.12754443337493
TTO,Trinidad and Tobago,Latin America & Caribbean,0.73770563278105,1.41906045207185,-0.68135481929079
MDV,Maldives,South Asia,2.20568291855446,2.3445924793870603,-0.13890956083258998
MKD,North Macedonia,Europe & Central Asia,1.30348920975691,2.2874793370620603,-0.98399012730515
FJI,Fiji,East Asia & Pacific,2.21866130608677,2.29058565016284,-0.07192434407606
