ISO3,Country,Region,GDP_2024,GDPpc_2024,Pop_2024,GDP_2050,GDPpc_2050,Pop_2050,GDP_2075,GDPpc_2075,Pop_2075,GDP_2100,GDPpc_2100,Pop_2100,g_agg,g_pc,g_pop,identity_residual,GDP_2100_lo,GDP_2100_hi,beta_expansion,beta_contraction,alpha_decadal,rank_agg_2024,rank_pc_2024,rank_agg_2050,rank_pc_2050,rank_agg_2075,rank_pc_2075,rank_agg_2100,rank_pc_2100
ECU,Ecuador,Latin America & Caribbean,112700914968.792,6214.388998668356,18135478.0,184980913196.23462,8669.393942441311,21337237.0,262433515350.01712,12260.79564877779,21404281.0,312847946170.8962,16386.200542898066,19092159.0,0.013433943919562935,0.012757528170280218,0.0006764157492827223,-5.204170427930421e-18,68395821400.92398,1289290968839.0833,0.8259047191863297,0.7723489119729627,0.14857999166642485,58,88,62,96,66,104,74,108
DOM,Dominican Republic,Latin America & Caribbean,101427839930.17854,8875.723825326668,11427557.0,173227593562.6386,13329.000320525138,12996293.0,240695711933.30756,18629.624086134292,12920052.0,297802894786.43335,25507.939229204625,11674910.0,0.014172160944433118,0.013890392844869166,0.00028176809956395425,-1.734723475976807e-18,63689680922.32509,1040440681837.8798,0.9424250569798222,0.8888692497664552,0.16188813947627076,63,72,65,73,72,78,75,86
JOR,Jordan,Middle East & North Africa,46212626655.76223,4000.0971754359894,11552876.0,98513401136.62192,6018.895976504322,16367354.0,174855700504.66327,8897.754094075748,19651667.0,288677862636.40796,13538.379424869174,21322926.0,0.024106030779902744,0.016042235758761812,0.00806379502114093,1.734723475976807e-18,59633844673.06389,1192345030456.6091,0.6072042986438703,0.6008210600949916,0.20335997256200944,89,109,82,115,76,117,76,116
KHM,Cambodia,East Asia & Pacific,37299105345.55235,2114.6054851206923,17638801.0,89995255960.89633,4103.478586390932,21931455.0,165425169771.45294,7077.5776056156155,23373134.0,285269108989.198,12545.445729473222,22738858.0,0.02676925836620677,0.0234274927157139,0.003341765650492869,2.6020852139652106e-18,70352693440.28078,946157713330.8738,0.8368898863622836,0.7527072736849739,0.2670358759589841,96,131,87,126,79,124,77,119
PAN,Panama,Latin America & Caribbean,76445209781.57703,16929.22295015167,4515577.0,135288632947.17575,24027.05054223926,5630680.0,201488196457.01715,33482.47002055215,6017722.0,267345850128.27057,45275.047452452935,5904927.0,0.016473274563242345,0.01294361519179905,0.0035296593714432907,4.7704895589362195e-18,66256404302.209236,1004424293256.7418,0.9502104854355732,0.8966546782222062,0.15872554859092994,70,52,72,54,74,59,78,62
LBY,Libya,Middle East & North Africa,56863406768.67343,7704.000755542074,7381023.0,104416247152.31795,11275.315938031905,9260605.0,168325969957.34995,17033.260730421876,9882193.0,265192841466.79868,27105.943503106297,9783568.0,0.02026059533588674,0.01655280590433781,0.003707789431548931,4.336808689942018e-19,60939953102.47837,917968442546.632,0.596731533957313,0.590348295408434,0.19812098440075068,84,75,80,79,78,81,79,81
PNG,Papua New Guinea,East Asia & Pacific,26794577091.557068,2533.406327683488,10576502.0,66704397259.776886,4474.826050745132,14906590.0,134096844366.74738,7628.27547805823,17578920.0,261739143210.5371,14041.391996645221,18640541.0,0.029988800677274607,0.02253216798651282,0.007456632690761783,2.6020852139652106e-18,61363165501.366714,873808136703.7477,0.6937147975532824,0.6095321848759727,0.24841129922093141,106,125,97,124,87,121,80,115
AZE,Azerbaijan,Europe & Central Asia,58872587431.17792,5695.55931631699,10336577.0,108591646429.30286,9674.155130445248,11224923.0,170521377420.7544,15790.246020153458,10799159.0,258393880161.6986,25784.41564202107,10021320.0,0.019461967294219056,0.01986951921893435,-0.00040755192471529726,4.2825985813177425e-18,64786410281.48884,811831147611.5568,0.8874640418680793,0.7716909036796313,0.22469627354243216,82,95,77,86,77,85,81,83
NPL,Nepal,South Asia,34654790040.44239,1168.7540699376957,29651054.0,79963875689.56528,2308.2909002283636,34642027.0,139723282931.93088,3935.544299350174,35502912.0,230007482214.08484,7225.797287042806,31831433.0,0.024903630039114392,0.02396999072557526,0.0009336393135391279,4.228388472693467e-18,46011294854.4225,831406866910.7208,0.7608082466724245,0.6917571332480871,0.2684979940554817,97,152,94,142,83,140,82,135
BHR,Bahrain,Middle East & North Africa,40794577918.730545,25384.775398093367,1607049.0,80782168627.33861,37758.116457777345,2139465.0,133994761998.35133,51369.57483434633,2608446.0,229739653812.6054,74341.63154227096,3090323.0,0.02274207301868393,0.014138440935772567,0.008603632082911363,0.0,51585882755.649414,748381307504.7908,0.6838995517969557,0.6775163132480769,0.20438351752377565,94,35,92,34,88,46,83,47
MOZ,Mozambique,Sub-Saharan Africa,20828555796.139313,601.4292137495764,34631766.0,62085866159.9662,977.2538299121694,63530952.0,133675519014.68979,1502.5580876493923,88965292.0,221517015968.66006,2122.8976898136366,104346534.0,0.031107559053589938,0.01659511083687773,0.01451244821671221,-1.734723475976807e-18,44711838152.43545,1017156133624.6484,0.9901213707034513,0.9168469023942099,0.14468123000352845,115,167,100,165,90,164,84,165
