ISO3,Country,Region,g_pop,P_concordant_expansion,P_benign_divergence,P_reverse_divergence,P_concordant_contraction,P_pc_gain,P_agg_loss
TGO,Togo,Sub-Saharan Africa,0.013377675060408411,0.932,0.0,0.064,0.004,0.932,0.004
ETH,Ethiopia,Sub-Saharan Africa,0.013459158241970108,0.91,0.0,0.089,0.001,0.91,0.001
MOZ,Mozambique,Sub-Saharan Africa,0.01451244821671221,0.938,0.0,0.061,0.001,0.938,0.001
ZMB,Zambia,Sub-Saharan Africa,0.014563838854827734,0.908,0.0,0.089,0.003,0.908,0.003
CMR,Cameroon,Sub-Saharan Africa,0.014680063721191409,0.913,0.0,0.085,0.002,0.913,0.002
AFG,Afghanistan,South Asia,0.014687260753561642,0.992,0.0,0.008,0.0,0.992,0.0
MLI,Mali,Sub-Saharan Africa,0.015475268394181417,0.938,0.0,0.062,0.0,0.938,0.0
CIV,Cote d'Ivoire,Sub-Saharan Africa,0.015541106056774895,0.925,0.0,0.073,0.002,0.925,0.002
MRT,Mauritania,Sub-Saharan Africa,0.015755293141426326,0.89,0.0,0.105,0.005,0.89,0.005
NER,Niger,Sub-Saharan Africa,0.015945196596216238,0.92,0.0,0.078,0.002,0.92,0.002
TCD,Chad,Sub-Saharan Africa,0.016202887486692467,0.915,0.0,0.083,0.002,0.915,0.002
CAF,Central African Republic,Sub-Saharan Africa,0.016569295695794618,0.89,0.0,0.104,0.006,0.89,0.006
SOM,Somalia,Sub-Saharan Africa,0.016647244895644713,0.921,0.0,0.076,0.003,0.921,0.003
TZA,Tanzania,Sub-Saharan Africa,0.017681760962026907,0.9,0.0,0.098,0.002,0.9,0.002
COD,"Congo, Dem. Rep.",Sub-Saharan Africa,0.01804676979284399,0.886,0.0,0.113,0.001,0.886,0.001
AGO,Angola,Sub-Saharan Africa,0.018110018546841276,0.927,0.0,0.072,0.001,0.927,0.001
