ISO3,Region,n_obs,beta_growth,growth_hdi_lo,growth_hdi_hi,beta_decline,decline_hdi_lo,decline_hdi_hi
SYC,Sub-Saharan Africa,6,0.9220600773467862,0.43722560803106336,1.47099849754027,0.8255755009516011,-0.5289189515465009,2.231123770493899
THA,East Asia & Pacific,6,0.9278356685083503,0.4448776352618779,1.419531820372318,0.810961912505215,-0.5191681222056529,2.0772122651140084
PAN,Latin America & Caribbean,6,0.931745754143999,0.4899178121681072,1.4736178543098402,0.8598409136787817,-0.5252797668994714,2.1862738908885664
DOM,Latin America & Caribbean,6,0.933126046112434,0.4591083018939606,1.4032376011590737,0.8612212056472185,-0.44910222553191625,2.2063634766665965
PRI,Latin America & Caribbean,6,0.9342797058882083,0.40075619265474166,1.4857738879665485,0.862374865422991,-0.44435417568266644,2.215342411971695
BFA,Sub-Saharan Africa,6,0.9371395070947101,0.4730961043645024,1.4347313237379218,0.8406549306995256,-0.47963455688233037,2.288964039516511
MOZ,Sub-Saharan Africa,4,0.9706246384905459,0.48480522170070856,1.483206065666939,0.8741400620953597,-0.4434870260668543,2.3054942785527124
UGA,Sub-Saharan Africa,3,0.9742394057259525,0.5069536262874688,1.4749782204647068,0.8777548293307678,-0.5551446035273451,2.1965380069785105
GNQ,Sub-Saharan Africa,4,0.9778202357005643,0.5592424556362567,1.423691123390127,0.8813356593053765,-0.4983311642394983,2.2413098897400276
ETH,Sub-Saharan Africa,5,0.9809098838999543,0.5229215284329436,1.4782275242566805,0.8844253075047721,-0.47352195617349413,2.2878177382738896
SWZ,Sub-Saharan Africa,5,1.009716158078326,0.4844645951818245,1.5112184431284803,0.9132315816831373,-0.46102100587092276,2.3461398075694158
CHN,East Asia & Pacific,6,1.0103207322468353,0.4737951880757087,1.5802225289215623,0.8934469762436905,-0.4192905087125043,2.2075520478039907
SGP,East Asia & Pacific,6,1.0104833568947809,0.5364597824710623,1.5326919162042647,0.8936096008916399,-0.42693441384836694,2.169084727197727
CPV,Sub-Saharan Africa,4,1.0213943130012555,0.4965961678725589,1.5654242604464226,0.9249097366060655,-0.36501605878968024,2.353278492974371
HND,Latin America & Caribbean,6,1.0377840749688054,0.5728791790649295,1.5477282039284017,0.9658792345035869,-0.44057001957498765,2.2364366489472625
KOR,East Asia & Pacific,6,1.0672724044433102,0.5115622812881762,1.648082756789634,0.9503986484401721,-0.38440173663909727,2.2710230208844138
BWA,Sub-Saharan Africa,6,1.153069534474503,0.6542004776992166,1.6667073522688425,1.0565849580793187,-0.2557033810199788,2.5283766967678813
