,mean,sd,hdi_2.5%,hdi_97.5%,ESS_bulk,ESS_tail,R_hat
"alpha_country[Korea, Rep.]",11.217476,0.034771,11.147829,11.284014,6042.719235,15034.287281,1.000256
alpha_country[Kuwait],11.082464,0.021092,11.041151,11.123113,4563.391118,10267.597101,1.000494
alpha_country[Lao PDR],9.755373,0.01984,9.716163,9.794384,23257.208538,27473.372334,1.000365
alpha_country[Latvia],10.406569,0.025285,10.355904,10.454415,6717.953294,15685.915551,1.000437
alpha_country[Lebanon],10.518036,0.016498,10.485902,10.550594,10102.562247,18777.812573,1.000327
alpha_country[Lesotho],9.384429,0.021663,9.342504,9.42661,5681.811639,12304.355747,1.000314
alpha_country[Liberia],10.059372,0.018825,10.022335,10.09607,9804.575103,19645.532889,1.000283
alpha_country[Libya],10.867463,0.021758,10.825263,10.910607,27507.013099,26936.104866,1.000005
alpha_country[Lithuania],10.508728,0.020524,10.468406,10.548884,9755.57229,19165.34634,1.000279
alpha_country[Luxembourg],11.169359,0.032168,11.108186,11.233528,2835.796595,6439.5046,1.000688
"alpha_country[Macao SAR, China]",10.956077,0.035162,10.886612,11.024357,2927.392448,5896.403404,1.00069
alpha_country[Madagascar],9.603566,0.021774,9.560067,9.645063,10374.827113,19920.075145,1.000289
alpha_country[Malawi],9.439933,0.012187,9.416217,9.463575,7409.728482,15730.962024,1.000553
alpha_country[Malaysia],10.680719,0.023241,10.634515,10.725988,6115.778467,16616.405607,1.000671
alpha_country[Maldives],10.120345,0.03798,10.045763,10.193101,2762.41443,5504.949806,1.000876
alpha_country[Mali],9.636209,0.013456,9.610388,9.663229,5938.814609,13891.728835,1.000212
alpha_country[Malta],10.470938,0.041866,10.389138,10.551345,3015.725638,6850.636149,1.000725
alpha_country[Mauritania],9.784476,0.01637,9.752864,9.817002,4527.904489,11014.658698,1.000357
alpha_country[Mauritius],10.149992,0.027946,10.097477,10.20654,4276.589448,10528.838043,1.000626
alpha_country[Mexico],11.130459,0.030927,11.068588,11.189986,2379.216054,4839.309303,1.000901
"alpha_country[Micronesia, Fed. Sts.]",9.527381,0.050969,9.423351,9.622573,2310.963941,4699.593058,1.00113
alpha_country[Moldova],9.820868,0.018455,9.785659,9.857804,7076.100429,16031.609666,1.000482
alpha_country[Mongolia],9.861939,0.0265,9.809617,9.912647,9633.991195,21230.826781,1.000299
alpha_country[Montenegro],10.028871,0.029616,9.969379,10.085189,2849.425657,5806.889619,1.000796
alpha_country[Morocco],10.278595,0.019141,10.240081,10.315126,2974.268385,7631.314013,1.000741
alpha_country[Mozambique],9.290704,0.026141,9.241358,9.3434,9671.748009,21144.972356,1.000317
alpha_country[Myanmar],9.461171,0.025042,9.41358,9.511356,2654.600887,6395.078889,1.000991
alpha_country[Namibia],10.094326,0.021291,10.053278,10.136602,3712.273601,8555.94167,1.000414
alpha_country[Nepal],9.688294,0.0165,9.655996,9.720499,2885.288306,7037.634703,1.000907
alpha_country[Netherlands],11.405582,0.014231,11.377455,11.433196,5492.011767,13161.873591,1.000159
alpha_country[New Caledonia],10.567192,0.117543,10.330666,10.797316,10272.904829,10062.198743,1.000271
alpha_country[New Zealand],11.151831,0.014214,11.124072,11.17923,7017.894193,17277.213457,1.000506
alpha_country[Nicaragua],9.995041,0.018011,9.960279,10.030633,18633.566042,26366.464868,1.000293
alpha_country[Niger],9.466434,0.016194,9.434416,9.497817,10580.191591,20934.988197,1.000164
alpha_country[Nigeria],10.380204,0.035107,10.312477,10.450117,2378.664033,4727.378476,1.000822
alpha_country[North Macedonia],10.052757,0.02021,10.013328,10.092276,4143.493077,10327.821645,1.000835
alpha_country[Norway],11.434353,0.011435,11.412232,11.456986,16994.685162,26134.336282,1.000109
alpha_country[Oman],10.925014,0.022758,10.879697,10.968614,4636.406252,10600.583837,1.000446
alpha_country[Pakistan],10.190398,0.034929,10.120795,10.257398,2291.585734,4124.043095,1.000972
alpha_country[Panama],10.440717,0.017803,10.406081,10.475662,4869.047347,11591.904881,1.000751
alpha_country[Papua New Guinea],10.078554,0.013976,10.051095,10.1057,14962.869232,23815.292152,1.000271
alpha_country[Paraguay],10.382028,0.014115,10.354245,10.409674,14360.852597,23816.344139,1.000319
alpha_country[Peru],10.613173,0.019105,10.575449,10.649943,4011.827664,11829.842456,1.000451
alpha_country[Philippines],10.436384,0.028071,10.380479,10.490327,2378.425386,4814.937185,1.000889
alpha_country[Poland],10.847808,0.023407,10.802276,10.893733,3372.252781,8627.566019,1.000451
alpha_country[Portugal],11.003915,0.013946,10.977003,11.031723,11208.831847,20574.877829,1.000198
alpha_country[Puerto Rico],11.028903,0.016038,10.997455,11.060059,6469.465007,15150.21867,1.001005
alpha_country[Qatar],11.223058,0.027838,11.169258,11.277834,3115.89949,6318.771142,1.000506
alpha_country[Romania],10.620298,0.019587,10.582528,10.658989,5306.105986,14293.232802,1.000261
