ISO3,g_pop_pct,g_agg_A_pct,g_agg_B_pct,g_agg_fitted_pct,oadr_2024,oadr_2050,oadr_2100,pressure_2050_pct,pressure_2100_pct,benefit_shortfall_2050_pct,benefit_shortfall_2100_pct,benefit_shortfall_2100_fitted_vs_B_pct,debt_wedge_pp_per_100pct_debt,doubling_years_A,doubling_years_B,doubling_delay_years,npv_ratio_B_over_A,gdp_2100_ratio_B_over_A
GTM,0.45001775133341115,1.8010665467577545,1.8464108700191977,1.8010665467577545,0.0861421511978745,0.162527817395136,0.485648199925208,18.867397102934934,56.3775333181128,4.543742382206517,3.5062369904166113,3.5062369904166113,-0.04534432326144325,47.0,45.0,-2.0,1.0496173172934242,1.0350623699041661
GUY,0.08856415564351947,1.5618884121012346,1.5641337162230984,1.5618884121012346,0.1008287525951265,0.1706775761964724,0.3784552313420989,16.92747076638157,37.53445536133622,2.847307947236155,0.17078879147365278,0.17078879147365278,-0.002245304121863828,47.0,43.0,-4.0,1.017651659046554,1.0017078879147365
HKG,-1.6723485727895657,0.5293376668469385,0.34829165359571235,0.5293376668469385,0.3262944420075326,0.629347549854154,0.6256806860856983,19.287718968857746,19.17533998544953,-5.8982461776970645,-12.854841575168408,-12.854841575168408,0.18104601325122624,35.0,38.0,3.0,0.945147235475477,0.8714515842483158
HND,0.5961209606219345,2.0623312885122336,2.0160921024131593,2.0623312885122336,0.0859098429721532,0.1961927405105937,0.5282059911281375,22.837050298670384,61.48375702413402,-1.2925017035173125,-3.4531478959450745,-3.4531478959450745,0.04623918609907435,46.0,47.0,1.0,0.9899875396168464,0.9654685210405493
HRV,-0.7804624964414061,1.4479043489993852,1.2060243279414473,1.4479043489993852,0.3565992159720564,0.5274804830089617,0.6159045102608546,14.791969790822415,17.271617061242157,-7.423361568560482,-16.792176988783858,-16.792176988783858,0.2418800210579379,33.0,38.0,5.0,0.9248126323940115,0.8320782301121614
HTI,0.3319756969097304,1.567160717273754,1.6440931395648224,1.567160717273754,0.0853391512420225,0.1523851525486259,0.3515031147420166,17.85641763842488,41.18896305227492,9.186716119850157,6.021173793107337,6.021173793107337,-0.07693242229106848,59.0,52.0,-7.0,1.074906373301095,1.0602117379310732
HUN,-0.34211518103341015,1.8311378211570224,1.7068467220758627,1.8311378211570224,0.3334751665464108,0.48078756874434003,0.5495410818429457,14.417492424504937,16.47922055288829,-6.365046367034511,-9.013699549270637,-9.013699549270637,0.12429109908115958,32.0,36.0,4.0,0.9464300441081694,0.9098630045072936
IDN,0.05465357471664174,2.4654048833633784,2.4146663084753874,2.4654048833633784,0.0983555982106281,0.2072809846772526,0.38830342073852875,21.07465039593997,39.479544408542836,0.7793476387779386,-3.7827294530864974,-3.7827294530864974,0.050738574887990856,29.0,29.0,0.0,1.0027419805486038,0.962172705469135
IND,0.04835716565105248,2.617536436646751,2.5536717293158917,2.617536436646751,0.1080623270808164,0.1982032162987743,0.4372149291046238,18.341564692618952,40.459514514956226,2.1726901825548817,-4.737807752210765,-4.737807752210765,0.06386470733085944,27.0,26.0,-1.0,1.0073245443777326,0.9526219224778922
IRL,0.007764839555348425,1.5725358300485417,1.5173076643728138,1.5725358300485417,0.2521776969736792,0.4509890988480102,0.543345317391537,17.88378212110811,21.546128936543035,-0.16594313645280634,-4.110471882259848,-4.110471882259848,0.0552281656757277,46.0,46.0,0.0,0.9937520159382969,0.9588952811774016
IRN,-0.1769557795033828,1.6194939799676284,1.4324135558428213,1.6194939799676284,0.1063219305242338,0.3699749364616926,0.6217197310880221,34.79761274437777,58.47521090169769,-0.9292843022935982,-13.25358748714005,-13.25358748714005,0.18708042412480722,43.0,47.0,4.0,0.9715547282197291,0.8674641251285995
