,mean,sd,hdi_2.5%,hdi_97.5%,ESS_bulk,ESS_tail,R_hat
z_alpha_country[KEN],0.039919,0.982105,-1.847383,2.051962,9167.797912,4256.791215,1.000245
z_alpha_country[KHM],0.201271,0.986223,-1.67428,2.213474,8847.330209,4319.799608,1.000469
z_alpha_country[KIR],-0.336617,0.989551,-2.349239,1.500865,7459.15529,3895.120924,1.001883
z_alpha_country[KOR],0.668756,1.00726,-1.436961,2.551905,3066.097656,3580.740343,1.001712
z_alpha_country[KWT],-0.409573,1.018473,-2.432551,1.614332,4455.179289,3945.718323,1.001449
z_alpha_country[LAO],0.270141,0.988238,-1.686543,2.140111,7781.709511,4402.745004,1.00072
z_alpha_country[LBN],0.155239,0.969196,-1.777978,1.978911,9848.409604,4612.70212,1.001168
z_alpha_country[LBR],-0.453762,1.01229,-2.365087,1.559605,5093.27142,3994.746764,1.000091
z_alpha_country[LBY],-0.288234,0.983816,-2.201093,1.614987,6999.659028,4159.539359,1.000335
z_alpha_country[LKA],0.191092,0.986097,-1.817933,2.052868,8988.719093,4445.573695,1.000962
z_alpha_country[LSO],0.176183,0.952868,-1.664711,2.097328,7911.607816,4380.049509,0.999717
z_alpha_country[LTU],0.018578,0.985048,-1.90495,1.931799,8826.096217,4123.741033,1.001224
z_alpha_country[LUX],0.034224,0.961234,-1.98853,1.792077,8236.578396,4040.886925,1.001165
z_alpha_country[LVA],-0.015456,1.014877,-2.085052,1.929937,9428.937969,4183.520795,1.000176
z_alpha_country[MAC],-0.227413,0.985989,-2.205767,1.679196,7752.971735,4265.75313,1.001258
z_alpha_country[MAR],0.095696,0.94788,-1.723301,2.005046,8957.938685,4588.435957,1.000657
z_alpha_country[MDA],-0.161855,0.968642,-1.981887,1.768961,9091.046467,4488.17046,1.001369
z_alpha_country[MDG],-0.372871,0.981856,-2.230419,1.564179,6003.498238,4166.136656,1.000475
z_alpha_country[MDV],0.145519,0.983382,-1.764792,2.060247,7587.378772,3639.447717,1.001456
z_alpha_country[MEX],-0.061682,0.964665,-1.991455,1.738784,8400.39328,4573.417951,1.000003
z_alpha_country[MKD],-0.081435,0.985232,-2.017285,1.86668,8791.467116,3770.809231,1.000931
z_alpha_country[MLI],0.096091,0.955663,-1.831304,1.890172,7905.615098,4223.884734,1.001022
z_alpha_country[MLT],0.572042,1.01835,-1.40252,2.556536,4036.211356,4074.328451,1.000085
z_alpha_country[MMR],0.308715,0.979841,-1.592921,2.160498,7422.688827,4031.925567,1.000874
z_alpha_country[MNE],-0.021577,0.985181,-2.098555,1.747932,9555.229774,4248.837687,0.999741
z_alpha_country[MNG],0.056608,0.970169,-1.876129,1.853942,9616.738525,4623.747946,1.00032
z_alpha_country[MOZ],0.241847,0.995597,-1.704027,2.148716,8401.064046,4760.296436,1.001459
z_alpha_country[MRT],-0.185814,0.973504,-2.104105,1.710862,8073.471048,4158.364464,1.000466
z_alpha_country[MUS],0.333953,0.958789,-1.523623,2.239698,5873.215818,3884.265869,0.999873
z_alpha_country[MWI],0.086357,0.974489,-1.783931,1.973468,8938.801615,4449.258339,1.001674
z_alpha_country[MYS],0.180774,0.969184,-1.694074,2.06375,7627.164085,4462.221639,1.001049
z_alpha_country[NAM],-0.056429,0.980493,-1.930505,1.894361,9437.535521,3996.354693,1.001323
z_alpha_country[NER],-0.253597,0.981513,-2.120908,1.664614,7116.045763,4498.402975,1.000847
z_alpha_country[NGA],-0.028445,0.977544,-1.843482,1.908785,9423.997384,4276.930598,1.001012
z_alpha_country[NIC],-0.248719,0.986807,-2.160391,1.684479,6669.397193,4167.981646,1.00161
z_alpha_country[NLD],-0.05201,0.956688,-1.85668,1.896087,8805.566647,3903.14675,1.001116
z_alpha_country[NOR],0.032498,0.950545,-1.868805,1.823797,9333.459811,4168.197249,1.001259
z_alpha_country[NPL],-0.163584,0.9267,-1.866548,1.688698,8216.10152,4811.544084,0.999985
z_alpha_country[NZL],-0.242423,0.956565,-2.047069,1.713396,7527.654402,4544.089564,1.001443
z_alpha_country[OMN],0.214805,0.973551,-1.695775,2.141277,6877.975942,4174.758007,1.000988
z_alpha_country[PAK],-0.011707,0.986857,-1.944975,1.925907,8343.519074,4332.260943,1.00136
z_alpha_country[PAN],0.240965,0.96691,-1.62431,2.13026,7455.233705,4243.478591,1.00016
z_alpha_country[PER],-0.017129,0.944569,-1.772475,1.92526,9052.603996,4296.166837,1.001005
z_alpha_country[PHL],-0.132427,0.973212,-2.142696,1.673144,8880.806948,4363.135798,1.000764
z_alpha_country[PNG],-0.206134,0.964768,-2.090612,1.646862,7824.142939,4139.112498,1.00025
z_alpha_country[POL],0.199589,0.980818,-1.664674,2.137065,8575.111141,4564.813005,1.000181
z_alpha_country[PRI],0.169215,0.936314,-1.70914,1.945268,8216.107046,4532.159949,1.000641
z_alpha_country[PRT],0.079105,0.945848,-1.785427,1.9628,8609.883697,3908.034541,0.99983
z_alpha_country[PRY],0.154911,0.967488,-1.756829,1.991787,8161.588837,4093.400517,1.000713
z_alpha_country[PSE],-0.067617,0.979795,-2.038665,1.761073,8569.963052,4149.58029,1.00046
z_alpha_country[PYF],-0.499845,1.000305,-2.503928,1.393478,4096.353198,4342.404075,1.000693
z_alpha_country[QAT],0.029427,0.988638,-1.7822,2.073913,9171.46851,4503.926088,1.001668
z_alpha_country[ROU],0.06867,0.990431,-1.945216,1.978358,10004.533315,4269.580041,1.002287
z_alpha_country[RUS],-0.161442,0.970542,-2.067968,1.701002,8520.559028,3807.216938,1.00006
z_alpha_country[RWA],0.052506,0.951657,-1.754585,1.894275,8661.029323,3947.366627,1.001137
z_alpha_country[SAU],-0.015137,0.958031,-2.000907,1.771332,8691.318718,4143.034514,1.000447
z_alpha_country[SDN],-0.164588,0.971438,-2.126388,1.681987,8194.500807,4346.723786,1.00069
z_alpha_country[SEN],-0.119701,0.968254,-1.989448,1.761558,9582.856197,4753.569312,1.000898
z_alpha_country[SGP],0.422306,0.979264,-1.435481,2.332136,4861.015447,4645.605532,1.000738
z_alpha_country[SLB],-0.272797,0.994458,-2.215109,1.670087,6572.437881,4523.263428,1.000873
z_alpha_country[SLE],-0.172479,0.945438,-2.022713,1.695392,7125.977635,4003.140838,1.0016
z_alpha_country[SLV],-0.167856,0.966275,-2.088758,1.70495,8084.918666,4206.050302,1.000487
z_alpha_country[SOM],-0.02033,0.954225,-1.883443,1.856312,9379.333725,4436.065441,1.000004
z_alpha_country[STP],-0.063278,0.98802,-1.955217,1.909541,9880.768849,4597.365543,1.000975
z_alpha_country[SUR],-0.166277,0.963471,-1.964015,1.792683,8687.227866,4460.520353,1.001203
z_alpha_country[SVK],0.03873,0.953416,-1.797564,1.875611,9123.378592,4305.755414,1.002989
z_alpha_country[SVN],-0.003029,0.972825,-1.960369,1.918588,9018.814066,3852.327691,1.000617
z_alpha_country[SWE],-0.067163,0.939013,-1.970148,1.732455,8943.51403,4404.987222,1.00124
z_alpha_country[SWZ],0.299228,0.970286,-1.63581,2.16916,5926.202189,3878.818475,1.002727
z_alpha_country[SYC],0.294376,0.989265,-1.606104,2.273002,7654.571558,3996.440645,1.000767
z_alpha_country[SYR],-0.224369,0.981272,-2.027409,1.76526,7620.080908,4460.998434,1.000431
z_alpha_country[TCD],-0.159985,0.961711,-1.937432,1.78585,8189.828939,4231.623702,1.000289
z_alpha_country[TGO],-0.002412,0.962032,-1.946375,1.841679,8898.456658,3858.598859,1.000143
