ISO3,Country,Region,GDP_2024,GDPpc_2024,Pop_2024,GDP_2050,GDPpc_2050,Pop_2050,GDP_2075,GDPpc_2075,Pop_2075,GDP_2100,GDPpc_2100,Pop_2100,g_agg,g_pc,g_pop,identity_residual,GDP_2100_lo,GDP_2100_hi,beta_expansion,beta_contraction,alpha_decadal,rank_agg_2024,rank_pc_2024,rank_agg_2050,rank_pc_2050,rank_agg_2075,rank_pc_2075,rank_agg_2100,rank_pc_2100
NER,Niger,Sub-Saharan Africa,14770593754.683376,546.4031013837529,27032412.0,35913752653.26837,683.8907235350209,52513876.0,69147598528.44843,905.1215207235708,76395928.0,115250171623.51123,1269.0056476724449,90819274.0,0.02703245888467353,0.011087262288457295,0.015945196596216238,0.0,25557116075.58823,523728272897.93115,0.7163217997857501,0.6430473314765086,0.1250947990240788,132,169,123,170,116,170,113,170
GAB,Gabon,Sub-Saharan Africa,16483798769.943192,6492.363293966641,2538952.0,35651320869.60675,8728.371363288472,4084533.0,65701362418.27242,11720.979121796185,5605450.0,104920460334.94034,15198.544285837464,6903323.0,0.02435295442987915,0.011191750582329865,0.013161203847549284,0.0,28244105919.367874,467492060758.72406,0.7586380614309908,0.6853635931217495,0.14149408668967653,123,85,124,95,119,105,114,113
VEN,"Venezuela, RB",Latin America & Caribbean,41039991076.285,1444.7881202723356,28405543.0,61259309056.58504,1970.076846939255,31094883.0,79883782543.29788,2598.391868813897,30743547.0,99996730531.64595,3535.8831396134988,28280553.0,0.011718296149302984,0.011776321239914804,-5.802509061181762e-05,-2.256495771485456e-18,19894504181.571,428417614783.0641,0.6839134260739939,0.6303576188606269,0.1304215294094663,93,141,101,145,111,147,115,145
GEO,Georgia,Europe & Central Asia,23501756099.31068,6172.214529964697,3807670.0,38719469550.52512,10567.500438187497,3664014.0,64058288271.65239,19207.128077323618,3335131.0,99881905088.44693,33637.032456842986,2969403.0,0.01903833411860898,0.022310130579158028,-0.0032717964605490477,4.336808689942018e-19,24158411481.183517,373293943246.23895,0.8758521656891055,0.7600790275006575,0.23165728842661965,109,90,118,81,122,77,116,74
EST,Estonia,Europe & Central Asia,28222284818.561646,20743.35216785147,1360546.0,43011012749.87157,36627.96685070053,1174267.0,65189472712.159706,66429.17395653659,981338.0,99713543450.54932,120791.25508998673,825503.0,0.016607757922543407,0.023182079912489273,-0.006574321989945865,-8.673617379884035e-19,25106652454.617516,337383790295.0231,0.8177054970467907,0.7019323588583427,0.23267929217810382,103,44,115,38,120,33,117,32
GIN,Guinea,Sub-Saharan Africa,14855398187.430418,1006.8190209095163,14754785.0,36017936698.96912,1538.9265922850461,23404584.0,67565939046.861725,2278.717992049259,29650856.0,96995462613.07318,3030.440846763314,32007047.0,0.024688169562184392,0.014498845083919276,0.010189324478265118,-1.734723475976807e-18,21656810099.44226,407672323206.175,0.9044790240688405,0.8312045557595993,0.14175879028005464,131,155,122,155,117,152,118,153
MWI,Malawi,Sub-Saharan Africa,11920469531.131622,550.4646547328732,21655286.0,31023280922.261105,830.3501992204448,37361683.0,56925741288.41758,1122.5996629901604,50708853.0,91899768502.40219,1553.9028355197008,59141258.0,0.026874229727435976,0.013654766516038488,0.013219463211397485,1.734723475976807e-18,22488214488.80425,426765068485.7337,0.8348817472944178,0.7616072789851764,0.14091445483271306,140,168,129,167,125,167,119,167
LVA,Latvia,Europe & Central Asia,31272257455.66175,16706.41697833972,1871871.0,44944007719.17439,29689.33202923378,1513810.0,64327261555.370544,54488.49243106319,1180566.0,91385586187.97003,98755.61930076696,925371.0,0.014109952689889469,0.02337967645600416,-0.009269723766114691,0.0,20524209786.592728,337808785511.3461,0.8256532068109947,0.7098800686225468,0.22838430417492725,100,53,111,48,121,43,120,40
BWA,Botswana,Sub-Saharan Africa,18308585315.443417,7262.029311134141,2521139.0,41093550364.06846,11954.73082042935,3437430.0,66672397044.76466,17291.155800955963,3855867.0,90858978527.99042,23680.772130079014,3836825.0,0.021078138490138,0.01555268561987339,0.005525452870264606,2.6020852139652106e-18,20675328984.10694,365503171344.6207,1.1639984725655503,1.090724004256309,0.15813981871676622,118,77,117,77,118,81,121,93
MAC,"Macao SAR, China",East Asia & Pacific,41386039513.7747,57459.70148886752,720262.0,61153370873.129776,91429.25406382469,668860.0,79682208291.15157,158078.29160183063,504068.0,90806178610.99866,274199.73732667003,331168.0,0.0103392594147077,0.020562801983414578,-0.010223542568706877,0.0,17665848192.73113,387592853954.70874,0.8603584123701694,0.7761757996928595,0.24723495307865215,92,11,102,9,112,6,122,4
